epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,29829.6,0.91339,0.92642,1.37214,0.72412,0.38465,0.50327,0.37687,0.72954,0.76762,1.2481,0.003994,0.003994,0.003994
93,30112.1,0.87888,0.86735,1.34509,0.66926,0.41891,0.46458,0.34326,0.73463,0.75786,1.25798,0.003928,0.003928,0.003928
94,30391.2,0.91156,0.90796,1.35489,0.62567,0.43526,0.4851,0.3623,0.72865,0.7615,1.25499,0.003862,0.003862,0.003862
95,30690.2,0.85929,0.88086,1.33737,0.57382,0.46919,0.46774,0.35122,0.72388,0.75328,1.25176,0.003796,0.003796,0.003796
96,30982.6,0.87246,0.87262,1.34623,0.6475,0.42664,0.4684,0.3517,0.71436,0.75839,1.24092,0.00373,0.00373,0.00373
97,31250,0.84455,0.84753,1.33932,0.64022,0.41569,0.45607,0.34177,0.72065,0.76333,1.24771,0.003664,0.003664,0.003664
98,31533.9,0.87563,0.88314,1.35913,0.63709,0.42748,0.50999,0.38609,0.71513,0.75696,1.24111,0.003598,0.003598,0.003598
99,31830.1,0.89174,0.89755,1.36132,0.64214,0.44782,0.47871,0.36248,0.71339,0.74689,1.23922,0.003532,0.003532,0.003532
100,32113.6,0.90014,0.91167,1.34486,0.58374,0.44136,0.4672,0.35047,0.7076,0.75286,1.22992,0.003466,0.003466,0.003466
101,32391.2,0.85718,0.8617,1.33292,0.63017,0.43799,0.46369,0.34789,0.71206,0.73977,1.23417,0.0034,0.0034,0.0034
102,32671.9,0.85201,0.86412,1.33653,0.64142,0.42391,0.5108,0.38753,0.70268,0.74322,1.22725,0.003334,0.003334,0.003334
103,32952.8,0.86621,0.87122,1.34362,0.67918,0.40967,0.51383,0.38952,0.69971,0.73663,1.22463,0.003268,0.003268,0.003268
104,33244.4,0.8542,0.85988,1.34871,0.62636,0.43086,0.47931,0.36321,0.70413,0.74435,1.23175,0.003202,0.003202,0.003202
105,33523.8,0.8421,0.85988,1.3356,0.63023,0.43977,0.51267,0.38912,0.69799,0.73742,1.22259,0.003136,0.003136,0.003136
106,33790.7,0.82488,0.82548,1.31697,0.65388,0.43331,0.51687,0.39357,0.70141,0.73723,1.23,0.00307,0.00307,0.00307
107,34074.8,0.86518,0.8446,1.31311,0.61385,0.47571,0.49937,0.37767,0.6938,0.72543,1.22073,0.003004,0.003004,0.003004
108,34356.2,0.83786,0.81026,1.31594,0.64249,0.46767,0.4714,0.35452,0.6962,0.72322,1.22101,0.002938,0.002938,0.002938
109,34627,0.8073,0.81482,1.30949,0.6076,0.43365,0.51675,0.39249,0.69426,0.72319,1.21983,0.002872,0.002872,0.002872
110,34904,0.85743,0.80794,1.31218,0.54602,0.47148,0.48125,0.36375,0.68766,0.72557,1.21476,0.002806,0.002806,0.002806
111,35187.5,0.86883,0.86716,1.32752,0.57232,0.45882,0.52313,0.39543,0.68727,0.71895,1.21311,0.00274,0.00274,0.00274
112,35462.7,0.85016,0.81949,1.31577,0.63131,0.47371,0.52649,0.39769,0.68756,0.71773,1.21193,0.002674,0.002674,0.002674
113,35739.4,0.86573,0.82205,1.31694,0.66452,0.44898,0.52711,0.39936,0.681,0.71253,1.20731,0.002608,0.002608,0.002608
114,36019.2,0.82515,0.8085,1.28928,0.60265,0.47578,0.53384,0.40431,0.67902,0.71296,1.20615,0.002542,0.002542,0.002542
115,36296.2,0.81635,0.78307,1.2791,0.58091,0.46996,0.53904,0.40778,0.68093,0.70862,1.20543,0.002476,0.002476,0.002476
116,36578.4,0.8347,0.78241,1.29302,0.57417,0.47628,0.5283,0.40233,0.67811,0.70599,1.20269,0.00241,0.00241,0.00241
117,36859.3,0.81251,0.76788,1.29565,0.56552,0.46823,0.52498,0.39924,0.67286,0.70882,1.19729,0.002344,0.002344,0.002344
118,37134.4,0.80462,0.78101,1.29243,0.5904,0.46186,0.52809,0.40154,0.67115,0.70492,1.19449,0.002278,0.002278,0.002278
119,37416.3,0.82954,0.78865,1.30511,0.59182,0.47714,0.53262,0.40538,0.67143,0.70755,1.19692,0.002212,0.002212,0.002212
120,37702.3,0.84321,0.81042,1.31289,0.56308,0.4709,0.49219,0.37421,0.67233,0.70094,1.19728,0.002146,0.002146,0.002146
121,37979.1,0.83621,0.79518,1.29954,0.58837,0.4608,0.49132,0.37353,0.67311,0.69604,1.20028,0.00208,0.00208,0.00208
122,38252,0.80469,0.76484,1.28916,0.60938,0.45166,0.48379,0.36839,0.67031,0.69405,1.19546,0.002014,0.002014,0.002014
123,38537.9,0.82491,0.79142,1.29664,0.62536,0.45659,0.49212,0.37402,0.67005,0.69479,1.19288,0.001948,0.001948,0.001948
124,38818.5,0.80431,0.75617,1.2915,0.60871,0.45511,0.50776,0.38602,0.66874,0.69149,1.19212,0.001882,0.001882,0.001882
125,39089.6,0.78623,0.7546,1.26418,0.59555,0.46961,0.49685,0.37741,0.66741,0.69274,1.19056,0.001816,0.001816,0.001816
126,39369.4,0.81672,0.78478,1.29165,0.58203,0.47575,0.50003,0.37934,0.66367,0.68746,1.18935,0.00175,0.00175,0.00175
